C0;Road 0;C1;Road 1;C2;Road 2;C3;Road 3;C4;Road 4;C5;Road 5;C6;Road 6;C7;Road 7;C8;Road 8 (Victory Road);C9 (League City);League
-;-;Leave city;Post-Battle Dialogue;Leave city;-;-;Post-Battle Dialogue;Gym Leader 4 Post-Battle Dialogue;Wander Around;-;Post-Mini Raid 2 Dialogue [gated];-;Elite Trainer (yield if cap exceeded);-;Elite Trainer;-;Arrive City Event (C9);-;Main Story Event 7
-;-;-;Wander Around;-;-;-;Wander Around;Leave city;Arrive City Event (C5);-;Elite Trainer (yield if cap exceeded);-;Arrive City Event (C7);-;Post-Elite Trainer Dialogue;-;-;-;Pre-Champion Dialogue
-;-;-;Arrive City Event (C2);-;-;-;Arrive City Event (C4);-;-;-;Wander Around;-;-;-;Wander Around;-;-;-;Champion Battle
-;-;-;-;-;-;-;-;-;-;-;Arrive City Event (C6);-;-;-;Arrive City Event (C8);-;-;-;Post-Champion Dialogue
-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;Main Story Event 8
-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;Pre-Rival Final Dialogue
-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;Rival (final)
-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;Post-Rival Final Dialogue
-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;Hall of Fame
-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;Main Story Event 9 (Mystery Figure Event)
-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;Pre-Mystery Figure Dialogue
-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;Mystery Figure Battle
-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;Post-Mystery Figure Dialogue
-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;Mystery Figure Reveal - It was you all along (The First)
-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;Main Story Ending
-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;Continue Post-Game (Battle Frontier loop)
;;;;;;;;;;;;;;;;;;;
RULE;TEXT;;;;;;;;;;;;;;;;;;
Sequencing;Read each column top-to-bottom in order. Player exhausts a column's events before moving on. Order within a column is fixed except for the optional Wander Around tries.;;;;;;;;;;;;;;;;;;
Intros (mandatory);Intros are mandatory ONCE per facility per save. They are simple and clean. Build-affecting intros (Move Tutor, Stone Sage, Nature Rater, Battle Dojo, EV Trainer, Fan Club) NEVER force a learn/equip action - they instead hand the player a one-time VOUCHER to try the NPC at no cost.;;;;;;;;;;;;;;;;;;
Intros (functional);Functional intros (Pokémon Center, Party Sort, Bag, PC, Artifact enable/disable, Relic Annex, Daycare) MAY force the player to perform the action once. These don't affect build composition.;;;;;;;;;;;;;;;;;;
Visited flag;Once a facility's mandatory intro has fired, later visits show a 'visited' presence with no re-intro. Exception: a STAGE-UP intro fires once per tier upgrade (Move Tutor -> Expert at C2 then Guru at C5, Stone Sage -> Stones at C4, Battle Dojo -> Black Belt at C6 then Grandmaster at C8).;;;;;;;;;;;;;;;;;;
Daycare exception;Daycare's first-time intro fires at C2 only. C4 and C6 reappearances are visited presence (no re-intro). The single static egg can be picked up at any visit, the parent is permanently consumed.;;;;;;;;;;;;;;;;;;
Story gating (Main);Main Story events and battles fire on EVERY run on their assigned roads. Always-on.;;;;;;;;;;;;;;;;;;
Story gating (Villain);Villain Story events and battles fire ONLY when the run's assigned villain is the corresponding team. One villain team per run drawn from: Rocket / Magma / Aqua / Galactic / Plasma / Flare / Skull / Yell / Macro Cosmos / Star.;;;;;;;;;;;;;;;;;;
Story gating (Extra);Extra Story events and raids fire ONLY when the run's assigned extra is the corresponding Pokémon horror. One extra per run drawn from: Cubone / Yamask / Hypno / Phantump / Mimikyu / Drifloon / Parasect / Mewtwo.;;;;;;;;;;;;;;;;;;
Battle Dialogue trigger;Pre-Battle Dialogue and Post-Battle Dialogue fire around every NAMED opponent: Gym Trainers (#), Gym Leaders, Rivals, Story Battles, Mini-Bosses, Bosses, Elite Four, Champion, Mystery Figure. Outcome-aware: post-dialogue branches on win/loss but always fires.;;;;;;;;;;;;;;;;;;
Battle Dialogue (generic);Wild Encounter and unnamed Basic Trainer fights use a short shared shoutout line (no full pre/post dialogue). Keeps route pacing tight.;;;;;;;;;;;;;;;;;;
Route fight cap;Each Road has 3-4 trainer fights total (Wild Encounters and Story Events do NOT count - only Battle entries). Base regular trainer count is 2 (with Rival on R3 and R6 the count climbs to 3). Story Battles (Main / Villain / Extra) substitute for regular trainer fights to stay <= 4.;;;;;;;;;;;;;;;;;;
Yield order (cap exceeded);When a route's gated story battles push count above 4, drop fights in this order: Basic Trainer FIRST, then Elite Trainer. NEVER drop Rival Match or Story Battle entries.;;;;;;;;;;;;;;;;;;
Healing (route);NO auto-heal between fights on a Road. HP and PP carry across encounters within a single route. Player may USE BAG ITEMS (Potions / Revives / Status heals) between fights to top up.;;;;;;;;;;;;;;;;;;
Healing (city);AUTO-HEAL on city entry. Pokémon Center entries are free. ALL fights inside a city (Gym Trainers / Gym Leaders / League battles / Mystery Figure) auto-heal beforehand.;;;;;;;;;;;;;;;;;;
Loss penalty;Lose any battle -> return to the last city, free heal, lose 20% of current gold. PP/HP fully restored. (Tuned down from 50% based on playtest - keeps the puzzle-retry vibe.);;;;;;;;;;;;;;;;;;
No Death Run;Achievement: clear the game without losing a single battle. End-of-run banner if achieved.;;;;;;;;;;;;;;;;;;
Wander Around;Optional after a route's mandatory events. Max 3 tries. Wild encounter chance: 50% / 25% / 12.5%. Halves on subsequent tries after a hit. Pure flavor / catching / training - does not advance the story timeline.;;;;;;;;;;;;;;;;;;
Boss Mechanic 1;HP-Threshold Phases (universal). The boss gains a new move or stat boost at 50% HP and again at 25% HP. Telegraphed by a phase-banner ONE TURN BEFORE the trigger. The backbone of every boss/raid/mini-boss encounter.;;;;;;;;;;;;;;;;;;
Boss Mechanic 2;Immunity Round (telegraphed). Every ~5 rounds the boss takes no damage for one turn but can still be afflicted by status. The pre-immunity turn shows a clear 'BOSS IS PREPARING' banner. Rewards status/setup play and punishes pure DPS.;;;;;;;;;;;;;;;;;;
Boss Mechanic 3a;Theme-Matched Field Lock. When the boss's type fits a field, lock weather/terrain/stadium for N turns matching it (Magma -> harsh sun, Aqua -> heavy rain, Plasma -> psychic terrain, Galactic -> distortion, etc.). Field-empowered moves get the standard +50% boost.;;;;;;;;;;;;;;;;;;
Boss Mechanic 3b;Fallback when the field-lock theme does not fit. Pick one each fight (no surprises): (a) +25% damage on the boss's STAB moves for 3 turns ('POWER SURGE' banner), or (b) +1 priority on the boss's next move ('BOSS MOVES FIRST' banner). Always telegraphed one turn ahead.;;;;;;;;;;;;;;;;;;
Mechanic discipline;Every mechanic is ANTICIPATED (banner one turn before activation) and CLEAN (no hidden RNG and no surprise mechanic introductions mid-fight). Player should always know what's coming.;;;;;;;;;;;;;;;;;;
Raid HP - Mini Raid;Max HP = base HP × (party size - 1). Stats scaled from a same-type legendary or scale-matched. Few phases. Easier. Team vs. 1 boss Pokémon.;;;;;;;;;;;;;;;;;;
Raid HP - Raid;Max HP = base HP × party size. Stats scaled from a same-type legendary. Full-scale multi-phase. Hard. Team vs. 1 boss Pokémon.;;;;;;;;;;;;;;;;;;
Mini-Boss Battle;Themed Trainer battle with Raid-Boss phases applied to the trainer's lead/strongest mon. Easier and fewer phases than a Boss Battle. Uses regular battle mechanics + the mechanic toolbox above.;;;;;;;;;;;;;;;;;;
Boss Battle;Themed Trainer battle with Raid-Boss phases applied to the trainer's lead/strongest mon. Hard multi-phase. Uses regular battle mechanics + the full mechanic toolbox.;;;;;;;;;;;;;;;;;;
Story Event;Dialogue or simple multiple-choice scene. Develops story / hands item / drops clue. NEVER combat.;;;;;;;;;;;;;;;;;;
Roaming Legendary;Queued after Gym Leader 8. The Sighting Cinematic fires once on Road 8 with per-variant framing + per-species lore. Then transitions to the Catch Encounter (one-throw catch or it's gone forever).;;;;;;;;;;;;;;;;;;
Trainer pools (handoff);Trainer pools / Pokémon encounters / enemy teams / difficulty curve are owned by separate tables. This board is the BONE STRUCTURE - trainer fight slots above bind to those tables by stage (C0-C9 difficulty band) and route ordinal.;;;;;;;;;;;;;;;;;;
